机构名称,机构地址,区县,机构电话,基本医保点,医保编码,新农合定点,邮政编码,
朝阳门街道朝内头条社区卫生服务站,东城区朝内大街203号,东城区,64015610,是,01162052,否,100010,
朝阳门街道大方家社区卫生服务站,东城区小牌坊胡同30号,东城区,85111691,是,01162014,否,100010,
建国门街道外交部街社区卫生服务站,东城区东堂子胡同24号,东城区,65121974,是,01162035,否,100005,
东直门街道清水苑社区卫生服务站,东城区清水苑小区4号,东城区,64611494,是,01162011,否,100027,
东直门街道东直门社区卫生服务站（中心站）,东城区东直门外察慈小区7号楼,东城区,64610470,是,01162036,否,100027,
东直门街道十字坡社区卫生服务站,东城区十字坡西里10号楼北,东城区,64161320,是,01162045,否,100027,
东直门街道王家园社区卫生服务站,东城区新中街西街12号,东城区,65519556,是,01162016,否,100027,
和平里街道小黄庄社区卫生服务站,东城区小黄庄前街2院3号楼,东城区,84282143,是,01162002,否,100013,
和平里街道安德里社区卫生服务站,东城区安德里北街21号,东城区,84127060,是,01162051,否,100011,
和平里街道青年湖社区卫生服务站,东城区青年湖东里9号楼北,东城区,84112543,是,01162009,否,100010,
和平里街道和平里中街社区卫生服务站,东城区和平里六区6号1层,东城区,84220399,是,01162022,否,100013,
和平里街道安德路社区卫生服务站,东城区安外青年湖南街11号,东城区,84130209,是,01162020,否,100011,
和平里街道东河沿社区卫生服务站,东城区东河沿甲7号楼,东城区,64205058,是,01162027,否,100011,
铁辘轳把社区卫生服务站,北京市东城区东花市大街33号,东城区,67120077,是,03162002,否,100062,
新景家园社区卫生服务站,东城区西花市大街62、64号,东城区,87186099,是,03162015,否,100062,
都市馨园社区卫生服务站,东城区都市馨园13号楼D102-103,东城区,67021437,是,03162017,否,100062,
幸福家园社区卫生服务站,幸福家园19楼1101-1102,东城区,67180497,是,03162013,否,100061,
左安门社区卫生服务站,东城左安浦园,东城区,67111096,是,03162001,否,100061,
长青园社区卫生服务站,长青园16号迤南,东城区,67120567,是,03162012,否,100061,
